NoteName,  cents,  equavesAdjusted
Cxx/   , 770.38c,  0
F\     , 770.67c,  0
E#\\   , 772.63c,  0
Abbbb//, 788.27c,  1
Gbb/   , 790.23c,  0
Cxx//  , 791.88c,  0
F      , 792.18c,  0
E#\    , 794.14c,  0
D#x\\  , 796.08c,  0
Gbb//  , 811.73c,  0
F/     , 813.69c,  0
E#     , 815.64c,  0
Abbb\\ , 815.93c,  1
D#x\   , 817.59c,  0
F//    , 835.19c,  0
E#/    , 837.15c,  0
Abbb\  , 837.44c,  1
D#x    , 839.10c,  0
Gb\\   , 839.39c,  0
E#//   , 858.66c,  0
Abbb   , 858.94c,  1
D#x/   , 860.60c,  0
Gb\    , 860.90c,  0
F#\\   , 862.85c,  0
Abbb/  , 880.45c,  1
D#x//  , 882.11c,  0
Gb     , 882.40c,  0
F#\    , 884.36c,  0
Ex\\   , 886.32c,  0
Abbb// , 901.96c,  1
Gb/    , 903.91c,  0
F#     , 905.87c,  0
Bbbbb\\, 906.16c,  1
Ex\    , 907.82c,  0
Dxx\\  , 909.77c,  0
Gb//   , 925.42c,  0
F#/    , 927.37c,  0
Bbbbb\ , 927.66c,  1
Ex     , 929.33c,  0
Abb\\  , 929.62c,  1
Dxx\   , 931.27c,  0
F#//   , 948.88c,  0
Bbbbb  , 949.17c,  1
Ex/    , 950.84c,  0
Abb\   , 951.12c,  1
Dxx    , 952.78c,  0
G\\    , 953.08c,  0
Bbbbb/ , 970.68c,  1
Ex//   , 972.34c,  0
Abb    , 972.63c,  1
Dxx/   , 974.29c,  0
G\     , 974.58c,  0
Fx\\   , 976.54c,  0
Bbbbb//, 992.18c,  1
Abb/   , 994.14c,  1
Dxx//  , 995.79c,  0
G      , 996.09c,  0
Cbbbb\\, 996.38c,  1
Fx\    , 998.04c,  0
E#x\\  , 1000.00c,  0
Abb//  , 1015.64c,  1
G/     , 1017.60c,  0
Cbbbb\ , 1017.88c,  1
Fx     , 1019.55c,  0
Bbbb\\ , 1019.84c,  1
E#x\   , 1021.51c,  0
G//    , 1039.10c,  0
Cbbbb  , 1039.39c,  1
Fx/    , 1041.06c,  0
Bbbb\  , 1041.35c,  1
E#x    , 1043.02c,  0
Ab\\   , 1043.30c,  1
Cbbbb/ , 1060.90c,  1
Fx//   , 1062.56c,  0
Bbbb   , 1062.86c,  1
E#x/   , 1064.52c,  0
Ab\    , 1064.81c,  1
G#\\   , 1066.76c,  0
Cbbbb//, 1082.40c,  1
Bbbb/  , 1084.36c,  1
E#x//  , 1086.03c,  0
Ab     , 1086.32c,  1
G#\    , 1088.27c,  0
F#x\\  , 1090.22c,  0
Bbbb// , 1105.87c,  1
Ab/    , 1107.82c,  1
G#     , 1109.78c,  0
Cbbb\\ , 1110.06c,  1
F#x\   , 1111.73c,  0
Exx\\  , 1113.69c,  0
Ab//   , 1129.33c,  1
G#/    , 1131.28c,  0
Cbbb\  , 1131.57c,  1
F#x    , 1133.23c,  0
Bbb\\  , 1133.53c,  1
Exx\   , 1135.19c,  0
G#//   , 1152.79c,  0
Cbbb   , 1153.08c,  1
F#x/   , 1154.74c,  0
Bbb\   , 1155.03c,  1
Exx    , 1156.70c,  0
A\\    , 1156.99c,  1
Cbbb/  , 1174.58c,  1
F#x//  , 1176.25c,  0
Bbb    , 1176.54c,  1
Exx/   , 1178.21c,  0
A\     , 1178.49c,  1
Gx\\   , 1180.45c,  0
Cbbb// , 1196.09c,  1
Bbb/   , 1198.05c,  1
Exx//  , 1199.71c,  0
